name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
madrid,2019-12-29,15.7,-1,5.2,15.7,-3,4.9,-2.5,61.2,0,0,0,,0,0,13.1,7.6,53.5,1032.1,6,21.1,109.1,9.6,5,,2019-12-29T08:37:22,2019-12-29T17:56:04,0.1,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
madrid,2019-12-30,13.1,-1.2,4.6,13.1,-2.7,4.4,-0.6,71.2,0,0,0,,0,0,11.2,5.1,62.2,1032.9,0.9,18.3,103.3,8.9,4,,2019-12-30T08:37:36,2019-12-30T17:56:49,0.14,Clear,Clear conditions throughout the day.,clear-day,"08224099999,D8661,08219099999,08220099999,08215099999,08221099999,LEMD,LEVS,08226099999,LETO,08213099999,08222099999,08223099999"
madrid,2019-12-31,13.3,-0.7,4.9,13.3,-2.8,4.3,1.8,81.6,0,0,0,,0,0,11.2,8.1,7.9,1033.1,10.9,13.7,103.2,8.9,4,,2019-12-31T08:37:47,2019-12-31T17:57:36,0.17,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,LEVS,D8661,08226099999,LETO,08219099999,08213099999,08223099999,08215099999"
madrid,2020-01-01,12.5,-1.1,4.4,12.5,-1.1,4.2,-0.2,74.8,0,0,0,,0,0,11.9,5.3,51.2,1033.1,12.9,10.1,105.8,9.1,5,,2020-01-01T08:37:56,2020-01-01T17:58:24,0.2,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08213099999,08219099999,08222099999,08223099999,08215099999,08220099999"
madrid,2020-01-02,11.9,-1.7,3.9,11.9,-1.9,3.9,-0.6,74.6,0,0,0,,0,0,13.3,5.9,88.7,1032,25.5,10,100.1,8.7,4,,2020-01-02T08:38:04,2020-01-02T17:59:14,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
madrid,2020-01-03,6.2,-0.6,2.3,6.2,-1.8,2.1,0.4,87.1,0,0,0,,0,0,11.5,7.7,84.8,1033.9,80.3,5.4,108.8,9.3,3,,2020-01-03T08:38:08,2020-01-03T18:00:06,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
madrid,2020-01-04,11.8,-1.8,4.1,11.8,-4.6,2.3,-0.9,72.5,0,0,0,,0,0,33.8,17.3,42.7,1034.4,13.7,13.8,110.2,9.5,5,,2020-01-04T08:38:11,2020-01-04T18:00:59,0.3,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
madrid,2020-01-05,12.7,-2.3,4,12.7,-5.3,3,-2.1,67.5,0,0,0,,0,0,19.1,10.1,48.5,1031.2,0,19.9,109.3,9.6,5,,2020-01-05T08:38:11,2020-01-05T18:01:53,0.33,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
madrid,2020-01-06,14.4,-1.5,4.4,14.4,-3.7,4,-1.4,69,0,0,0,,0,0,12.2,7.9,59.9,1030.5,2,18.2,109.3,9.4,5,,2020-01-06T08:38:10,2020-01-06T18:02:49,0.36,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
madrid,2020-01-07,14.3,-1.4,4.6,14.3,-2.6,4.5,-1.9,66.6,0,0,0,,0,0,11.9,6,84.2,1032.4,9.7,17.5,108.1,9.3,5,,2020-01-07T08:38:06,2020-01-07T18:03:46,0.39,Clear,Clear conditions throughout the day.,clear-day,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
madrid,2020-01-08,15.1,-0.8,5.5,15.1,-2.7,5.4,-2.6,60.9,0,0,0,,0,0,10.8,5.4,113,1030.7,22.5,19.4,105.8,9.2,4,,2020-01-08T08:37:59,2020-01-08T18:04:45,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08221099999,08224099999,LEMD,D8661,08226099999,LETO,08219099999,08213099999,08222099999,08223099999,08220099999,08215099999"
madrid,2020-01-09,12.7,0.7,6.1,12.7,-1.2,5.8,-0.2,66.1,0,0,0,,0,0,18.4,13.1,287.8,1028,11.3,19,103.5,9,4,,2020-01-09T08:37:51,2020-01-09T18:05:45,0.46,Clear,Clear conditions throughout the day.,clear-day,"08224099999,D8661,08219099999,08220099999,08215099999,08221099999,LEMD,LEVS,08226099999,LETO,08213099999,08222099999,08223099999"
